ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
2022-08-09 16:08:08;36;2022-08-09 16:08:08;96;2022-08-09 16:08:08;501;2022-08-09 16:08:08;41;2022-08-09 16:08:08;64;2022-08-09 16:08:08;45;2022-08-09 16:08:08;1;2022-08-09 16:08:08;28.9;2022-08-09 16:08:08;1577922332;2022-08-09 16:08:08;normal
2022-08-09 16:13:09;37;2022-08-09 16:13:09;96;2022-08-09 16:13:09;484;2022-08-09 16:13:09;41;2022-08-09 16:13:09;51;2022-08-09 16:13:09;45;2022-08-09 16:13:09;1;2022-08-09 16:13:09;28.9;2022-08-09 16:13:09;1577922632;2022-08-09 16:13:09;normal
2022-08-09 16:18:09;36;2022-08-09 16:18:09;96;2022-08-09 16:18:09;497;2022-08-09 16:18:09;41;2022-08-09 16:18:09;51;2022-08-09 16:18:09;45;2022-08-09 16:18:09;1;2022-08-09 16:18:09;28.8;2022-08-09 16:18:09;1577922932;2022-08-09 16:18:09;normal
2022-08-09 16:23:09;36;2022-08-09 16:23:09;96;2022-08-09 16:23:09;495;2022-08-09 16:23:09;41;2022-08-09 16:23:09;43;2022-08-09 16:23:09;45;2022-08-09 16:23:09;1;2022-08-09 16:23:09;28.8;2022-08-09 16:23:09;1577923232;2022-08-09 16:23:09;normal
2022-08-09 16:28:09;36;2022-08-09 16:28:09;96;2022-08-09 16:28:09;490;2022-08-09 16:28:09;41;2022-08-09 16:28:09;35;2022-08-09 16:28:09;45;2022-08-09 16:28:09;1;2022-08-09 16:28:09;28.8;2022-08-09 16:28:09;1577923532;2022-08-09 16:28:09;normal
2022-08-09 16:33:09;36;2022-08-09 16:33:09;96;2022-08-09 16:33:09;500;2022-08-09 16:33:09;41;2022-08-09 16:33:09;38;2022-08-09 16:33:09;45;2022-08-09 16:33:09;1;2022-08-09 16:33:09;28.8;2022-08-09 16:33:09;1577923832;2022-08-09 16:33:09;normal
2022-08-09 16:38:09;37;2022-08-09 16:38:09;96;2022-08-09 16:38:09;475;2022-08-09 16:38:09;41;2022-08-09 16:38:09;46;2022-08-09 16:38:09;45;2022-08-09 16:38:09;1;2022-08-09 16:38:09;28.8;2022-08-09 16:38:09;1577924132;2022-08-09 16:38:09;normal
2022-08-09 16:43:08;36;2022-08-09 16:43:08;96;2022-08-09 16:43:08;486;2022-08-09 16:43:08;41;2022-08-09 16:43:08;40;2022-08-09 16:43:08;45;2022-08-09 16:43:08;1;2022-08-09 16:43:08;28.8;2022-08-09 16:43:08;1577924432;2022-08-09 16:43:08;normal
2022-08-09 16:48:08;36;2022-08-09 16:48:08;96;2022-08-09 16:48:08;508;2022-08-09 16:48:08;41;2022-08-09 16:48:08;43;2022-08-09 16:48:08;45;2022-08-09 16:48:08;1;2022-08-09 16:48:08;28.7;2022-08-09 16:48:08;1577924732;2022-08-09 16:48:08;normal
2022-08-09 16:53:09;36;2022-08-09 16:53:09;96;2022-08-09 16:53:09;501;2022-08-09 16:53:09;41;2022-08-09 16:53:09;33;2022-08-09 16:53:09;45;2022-08-09 16:53:09;1;2022-08-09 16:53:09;28.7;2022-08-09 16:53:09;1577925032;2022-08-09 16:53:09;normal
2022-08-09 16:58:09;36;2022-08-09 16:58:09;96;2022-08-09 16:58:09;500;2022-08-09 16:58:09;41;2022-08-09 16:58:09;33;2022-08-09 16:58:09;46;2022-08-09 16:58:09;1;2022-08-09 16:58:09;28.7;2022-08-09 16:58:09;1577925332;2022-08-09 16:58:09;normal
2022-08-09 17:03:08;37;2022-08-09 17:03:08;96;2022-08-09 17:03:08;498;2022-08-09 17:03:08;41;2022-08-09 17:03:08;30;2022-08-09 17:03:08;45;2022-08-09 17:03:08;1;2022-08-09 17:03:08;28.7;2022-08-09 17:03:08;1577925632;2022-08-09 17:03:08;normal
2022-08-09 17:08:08;37;2022-08-09 17:08:08;96;2022-08-09 17:08:08;499;2022-08-09 17:08:08;41;2022-08-09 17:08:08;28;2022-08-09 17:08:08;45;2022-08-09 17:08:08;1;2022-08-09 17:08:08;28.7;2022-08-09 17:08:08;1577925932;2022-08-09 17:08:08;normal
2022-08-09 17:13:08;36;2022-08-09 17:13:08;96;2022-08-09 17:13:08;465;2022-08-09 17:13:08;41;2022-08-09 17:13:08;25;2022-08-09 17:13:08;45;2022-08-09 17:13:08;1;2022-08-09 17:13:08;28.7;2022-08-09 17:13:08;1577926232;2022-08-09 17:13:08;normal
2022-08-09 17:18:08;37;2022-08-09 17:18:08;96;2022-08-09 17:18:08;477;2022-08-09 17:18:08;41;2022-08-09 17:18:08;20;2022-08-09 17:18:08;45;2022-08-09 17:18:08;1;2022-08-09 17:18:08;28.7;2022-08-09 17:18:08;1577926532;2022-08-09 17:18:08;normal
2022-08-09 17:23:09;36;2022-08-09 17:23:09;96;2022-08-09 17:23:09;483;2022-08-09 17:23:09;41;2022-08-09 17:23:09;17;2022-08-09 17:23:09;45;2022-08-09 17:23:09;1;2022-08-09 17:23:09;28.7;2022-08-09 17:23:09;1577926832;2022-08-09 17:23:09;normal
2022-08-09 17:28:08;37;2022-08-09 17:28:08;96;2022-08-09 17:28:08;509;2022-08-09 17:28:08;41;2022-08-09 17:28:08;17;2022-08-09 17:28:08;45;2022-08-09 17:28:08;1;2022-08-09 17:28:08;28.7;2022-08-09 17:28:08;1577927132;2022-08-09 17:28:08;normal
2022-08-09 17:38:08;37;2022-08-09 17:38:08;96;2022-08-09 17:38:08;497;2022-08-09 17:38:08;41;2022-08-09 17:38:08;15;2022-08-09 17:38:08;45;2022-08-09 17:38:08;1;2022-08-09 17:38:08;28.7;2022-08-09 17:38:08;1577927508;2022-08-09 17:38:08;normal
2022-08-09 17:38:10;37;2022-08-09 17:38:10;96;2022-08-09 17:38:10;493;2022-08-09 17:38:10;41;2022-08-09 17:38:10;12;2022-08-09 17:38:10;41;2022-08-09 17:38:10;1;2022-08-09 17:38:10;28.7;2022-08-09 17:38:10;1577927732;2022-08-09 17:38:10;normal
2022-08-09 17:43:08;36;2022-08-09 17:43:08;96;2022-08-09 17:43:08;491;2022-08-09 17:43:08;41;2022-08-09 17:43:08;10;2022-08-09 17:43:08;45;2022-08-09 17:43:08;1;2022-08-09 17:43:08;28.6;2022-08-09 17:43:08;1577928032;2022-08-09 17:43:08;normal
2022-08-09 17:48:08;36;2022-08-09 17:48:08;96;2022-08-09 17:48:08;477;2022-08-09 17:48:08;41;2022-08-09 17:48:08;10;2022-08-09 17:48:08;46;2022-08-09 17:48:08;1;2022-08-09 17:48:08;28.7;2022-08-09 17:48:08;1577928332;2022-08-09 17:48:08;normal
