8f66d910-172e-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
VSm_3834373155398E0D;2022-08-09 16:05:49;11;2022-08-09 16:05:49;96;2022-08-09 16:05:49;453;2022-08-09 16:05:49;39;2022-08-09 16:05:49;5;2022-08-09 16:05:49;43;2022-08-09 16:05:49;1;2022-08-09 16:05:49;28.8;2022-08-09 16:05:49;1577921731;2022-08-09 16:05:49;normal
;2022-08-09 16:15:49;11;2022-08-09 16:15:49;96;2022-08-09 16:15:49;463;2022-08-09 16:15:49;39;2022-08-09 16:15:49;5;2022-08-09 16:15:49;43;2022-08-09 16:15:49;1;2022-08-09 16:15:49;28.8;2022-08-09 16:15:49;1577922099;2022-08-09 16:15:49;normal
;2022-08-09 16:15:52;11;2022-08-09 16:15:52;96;2022-08-09 16:15:52;469;2022-08-09 16:15:52;39;2022-08-09 16:15:52;2;2022-08-09 16:15:52;42;2022-08-09 16:15:52;1;2022-08-09 16:15:52;28.8;2022-08-09 16:15:52;1577922331;2022-08-09 16:15:52;normal
;2022-08-09 16:20:49;13;2022-08-09 16:20:49;96;2022-08-09 16:20:49;473;2022-08-09 16:20:49;39;2022-08-09 16:20:49;2;2022-08-09 16:20:49;43;2022-08-09 16:20:49;1;2022-08-09 16:20:49;28.8;2022-08-09 16:20:49;1577922631;2022-08-09 16:20:49;normal
;2022-08-09 16:25:49;11;2022-08-09 16:25:49;96;2022-08-09 16:25:49;465;2022-08-09 16:25:49;39;2022-08-09 16:25:49;2;2022-08-09 16:25:49;43;2022-08-09 16:25:49;1;2022-08-09 16:25:49;28.8;2022-08-09 16:25:49;1577922931;2022-08-09 16:25:49;normal
;2022-08-09 16:30:49;12;2022-08-09 16:30:49;96;2022-08-09 16:30:49;471;2022-08-09 16:30:49;39;2022-08-09 16:30:49;2;2022-08-09 16:30:49;44;2022-08-09 16:30:49;1;2022-08-09 16:30:49;28.8;2022-08-09 16:30:49;1577923231;2022-08-09 16:30:49;normal
;2022-08-09 16:35:49;11;2022-08-09 16:35:49;96;2022-08-09 16:35:49;477;2022-08-09 16:35:49;39;2022-08-09 16:35:49;2;2022-08-09 16:35:49;44;2022-08-09 16:35:49;1;2022-08-09 16:35:49;28.8;2022-08-09 16:35:49;1577923531;2022-08-09 16:35:49;normal
;2022-08-09 16:40:49;11;2022-08-09 16:40:49;96;2022-08-09 16:40:49;455;2022-08-09 16:40:49;39;2022-08-09 16:40:49;2;2022-08-09 16:40:49;43;2022-08-09 16:40:49;1;2022-08-09 16:40:49;28.8;2022-08-09 16:40:49;1577923831;2022-08-09 16:40:49;normal
;2022-08-09 16:45:49;11;2022-08-09 16:45:49;96;2022-08-09 16:45:49;455;2022-08-09 16:45:49;39;2022-08-09 16:45:49;2;2022-08-09 16:45:49;44;2022-08-09 16:45:49;1;2022-08-09 16:45:49;28.8;2022-08-09 16:45:49;1577924131;2022-08-09 16:45:49;normal
;2022-08-09 16:50:49;12;2022-08-09 16:50:49;96;2022-08-09 16:50:49;458;2022-08-09 16:50:49;39;2022-08-09 16:50:49;2;2022-08-09 16:50:49;45;2022-08-09 16:50:49;1;2022-08-09 16:50:49;28.8;2022-08-09 16:50:49;1577924431;2022-08-09 16:50:49;normal
;2022-08-09 16:55:49;11;2022-08-09 16:55:49;96;2022-08-09 16:55:49;459;2022-08-09 16:55:49;39;2022-08-09 16:55:49;2;2022-08-09 16:55:49;44;2022-08-09 16:55:49;1;2022-08-09 16:55:49;28.8;2022-08-09 16:55:49;1577924731;2022-08-09 16:55:49;normal
;2022-08-09 17:00:49;11;2022-08-09 17:00:49;96;2022-08-09 17:00:49;451;2022-08-09 17:00:49;39;2022-08-09 17:00:49;2;2022-08-09 17:00:49;43;2022-08-09 17:00:49;1;2022-08-09 17:00:49;28.8;2022-08-09 17:00:49;1577925031;2022-08-09 17:00:49;normal
;2022-08-09 17:05:49;11;2022-08-09 17:05:49;96;2022-08-09 17:05:49;461;2022-08-09 17:05:49;39;2022-08-09 17:05:49;2;2022-08-09 17:05:49;43;2022-08-09 17:05:49;1;2022-08-09 17:05:49;28.8;2022-08-09 17:05:49;1577925331;2022-08-09 17:05:49;normal
;2022-08-09 17:10:49;13;2022-08-09 17:10:49;96;2022-08-09 17:10:49;467;2022-08-09 17:10:49;39;2022-08-09 17:10:49;2;2022-08-09 17:10:49;44;2022-08-09 17:10:49;1;2022-08-09 17:10:49;28.8;2022-08-09 17:10:49;1577925631;2022-08-09 17:10:49;normal
;2022-08-09 17:15:49;11;2022-08-09 17:15:49;96;2022-08-09 17:15:49;466;2022-08-09 17:15:49;39;2022-08-09 17:15:49;2;2022-08-09 17:15:49;43;2022-08-09 17:15:49;1;2022-08-09 17:15:49;28.8;2022-08-09 17:15:49;1577925931;2022-08-09 17:15:49;normal
;2022-08-09 17:20:49;12;2022-08-09 17:20:49;96;2022-08-09 17:20:49;436;2022-08-09 17:20:49;39;2022-08-09 17:20:49;2;2022-08-09 17:20:49;43;2022-08-09 17:20:49;1;2022-08-09 17:20:49;28.8;2022-08-09 17:20:49;1577926231;2022-08-09 17:20:49;normal
;2022-08-09 17:25:49;10;2022-08-09 17:25:49;96;2022-08-09 17:25:49;450;2022-08-09 17:25:49;39;2022-08-09 17:25:49;2;2022-08-09 17:25:49;43;2022-08-09 17:25:49;1;2022-08-09 17:25:49;28.7;2022-08-09 17:25:49;1577926531;2022-08-09 17:25:49;normal
;2022-08-09 17:30:49;11;2022-08-09 17:30:49;96;2022-08-09 17:30:49;456;2022-08-09 17:30:49;39;2022-08-09 17:30:49;0;2022-08-09 17:30:49;43;2022-08-09 17:30:49;1;2022-08-09 17:30:49;28.8;2022-08-09 17:30:49;1577926831;2022-08-09 17:30:49;normal
;2022-08-09 17:35:49;12;2022-08-09 17:35:49;96;2022-08-09 17:35:49;446;2022-08-09 17:35:49;39;2022-08-09 17:35:49;0;2022-08-09 17:35:49;43;2022-08-09 17:35:49;1;2022-08-09 17:35:49;28.8;2022-08-09 17:35:49;1577927131;2022-08-09 17:35:49;normal
;2022-08-09 17:40:49;11;2022-08-09 17:40:49;96;2022-08-09 17:40:49;464;2022-08-09 17:40:49;39;2022-08-09 17:40:49;0;2022-08-09 17:40:49;43;2022-08-09 17:40:49;1;2022-08-09 17:40:49;28.8;2022-08-09 17:40:49;1577927431;2022-08-09 17:40:49;normal
