edaae300-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
VSm_3834373167398A0D;2022-08-09 16:08:49;86;2022-08-09 16:08:49;96;2022-08-09 16:08:49;623;2022-08-09 16:08:49;37;2022-08-09 16:08:49;258;2022-08-09 16:08:49;45;2022-08-09 16:08:49;1;2022-08-09 16:08:49;29.6;2022-08-09 16:08:49;1577922029;2022-08-09 16:08:49;normal
;2022-08-09 16:13:49;86;2022-08-09 16:13:49;96;2022-08-09 16:13:49;630;2022-08-09 16:13:49;37;2022-08-09 16:13:49;215;2022-08-09 16:13:49;45;2022-08-09 16:13:49;1;2022-08-09 16:13:49;29.7;2022-08-09 16:13:49;1577922329;2022-08-09 16:13:49;normal
;2022-08-09 16:18:48;86;2022-08-09 16:18:48;96;2022-08-09 16:18:48;628;2022-08-09 16:18:48;37;2022-08-09 16:18:48;199;2022-08-09 16:18:48;45;2022-08-09 16:18:48;1;2022-08-09 16:18:48;29.7;2022-08-09 16:18:48;1577922629;2022-08-09 16:18:48;normal
;2022-08-09 16:23:49;85;2022-08-09 16:23:49;96;2022-08-09 16:23:49;628;2022-08-09 16:23:49;37;2022-08-09 16:23:49;189;2022-08-09 16:23:49;45;2022-08-09 16:23:49;1;2022-08-09 16:23:49;29.7;2022-08-09 16:23:49;1577922929;2022-08-09 16:23:49;normal
;2022-08-09 16:28:49;86;2022-08-09 16:28:49;96;2022-08-09 16:28:49;629;2022-08-09 16:28:49;37;2022-08-09 16:28:49;192;2022-08-09 16:28:49;45;2022-08-09 16:28:49;1;2022-08-09 16:28:49;29.7;2022-08-09 16:28:49;1577923229;2022-08-09 16:28:49;normal
;2022-08-09 16:33:49;86;2022-08-09 16:33:49;96;2022-08-09 16:33:49;638;2022-08-09 16:33:49;37;2022-08-09 16:33:49;174;2022-08-09 16:33:49;45;2022-08-09 16:33:49;1;2022-08-09 16:33:49;29.7;2022-08-09 16:33:49;1577923529;2022-08-09 16:33:49;normal
;2022-08-09 16:38:49;86;2022-08-09 16:38:49;96;2022-08-09 16:38:49;646;2022-08-09 16:38:49;37;2022-08-09 16:38:49;204;2022-08-09 16:38:49;45;2022-08-09 16:38:49;1;2022-08-09 16:38:49;29.7;2022-08-09 16:38:49;1577923829;2022-08-09 16:38:49;normal
;2022-08-09 16:48:48;86;2022-08-09 16:48:48;96;2022-08-09 16:48:48;634;2022-08-09 16:48:48;37;2022-08-09 16:48:48;171;2022-08-09 16:48:48;45;2022-08-09 16:48:48;1;2022-08-09 16:48:48;29.7;2022-08-09 16:48:48;1577924194;2022-08-09 16:48:48;normal
;2022-08-09 16:48:51;86;2022-08-09 16:48:51;96;2022-08-09 16:48:51;636;2022-08-09 16:48:51;37;2022-08-09 16:48:51;168;2022-08-09 16:48:51;49;2022-08-09 16:48:51;1;2022-08-09 16:48:51;29.7;2022-08-09 16:48:51;1577924429;2022-08-09 16:48:51;normal
;2022-08-09 16:53:49;86;2022-08-09 16:53:49;96;2022-08-09 16:53:49;632;2022-08-09 16:53:49;37;2022-08-09 16:53:49;143;2022-08-09 16:53:49;45;2022-08-09 16:53:49;1;2022-08-09 16:53:49;29.7;2022-08-09 16:53:49;1577924729;2022-08-09 16:53:49;normal
;2022-08-09 16:58:48;86;2022-08-09 16:58:48;96;2022-08-09 16:58:48;635;2022-08-09 16:58:48;37;2022-08-09 16:58:48;140;2022-08-09 16:58:48;45;2022-08-09 16:58:48;1;2022-08-09 16:58:48;29.6;2022-08-09 16:58:48;1577925029;2022-08-09 16:58:48;normal
;2022-08-09 17:03:48;86;2022-08-09 17:03:48;96;2022-08-09 17:03:48;635;2022-08-09 17:03:48;37;2022-08-09 17:03:48;143;2022-08-09 17:03:48;45;2022-08-09 17:03:48;1;2022-08-09 17:03:48;29.6;2022-08-09 17:03:48;1577925329;2022-08-09 17:03:48;normal
