c5f6b3c0-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
VSm_3834373175396E0E;2022-08-09 16:10:27;89;2022-08-09 16:10:27;96;2022-08-09 16:10:27;617;2022-08-09 16:10:27;40;2022-08-09 16:10:27;348;2022-08-09 16:10:27;45;2022-08-09 16:10:27;1;2022-08-09 16:10:27;29.3;2022-08-09 16:10:27;1577922031;2022-08-09 16:10:27;normal
;2022-08-09 16:15:27;89;2022-08-09 16:15:27;96;2022-08-09 16:15:27;626;2022-08-09 16:15:27;40;2022-08-09 16:15:27;289;2022-08-09 16:15:27;45;2022-08-09 16:15:27;1;2022-08-09 16:15:27;29.3;2022-08-09 16:15:27;1577922331;2022-08-09 16:15:27;normal
;2022-08-09 16:20:27;89;2022-08-09 16:20:27;96;2022-08-09 16:20:27;617;2022-08-09 16:20:27;40;2022-08-09 16:20:27;271;2022-08-09 16:20:27;45;2022-08-09 16:20:27;1;2022-08-09 16:20:27;29.3;2022-08-09 16:20:27;1577922631;2022-08-09 16:20:27;normal
;2022-08-09 16:25:27;89;2022-08-09 16:25:27;96;2022-08-09 16:25:27;610;2022-08-09 16:25:27;40;2022-08-09 16:25:27;256;2022-08-09 16:25:27;45;2022-08-09 16:25:27;1;2022-08-09 16:25:27;29.3;2022-08-09 16:25:27;1577922931;2022-08-09 16:25:27;normal
;2022-08-09 16:30:27;90;2022-08-09 16:30:27;96;2022-08-09 16:30:27;609;2022-08-09 16:30:27;40;2022-08-09 16:30:27;256;2022-08-09 16:30:27;45;2022-08-09 16:30:27;1;2022-08-09 16:30:27;29.3;2022-08-09 16:30:27;1577923231;2022-08-09 16:30:27;normal
;2022-08-09 16:35:26;89;2022-08-09 16:35:26;96;2022-08-09 16:35:26;619;2022-08-09 16:35:26;40;2022-08-09 16:35:26;240;2022-08-09 16:35:26;45;2022-08-09 16:35:26;1;2022-08-09 16:35:26;29.3;2022-08-09 16:35:26;1577923531;2022-08-09 16:35:26;normal
;2022-08-09 16:40:26;89;2022-08-09 16:40:26;96;2022-08-09 16:40:26;606;2022-08-09 16:40:26;40;2022-08-09 16:40:26;284;2022-08-09 16:40:26;45;2022-08-09 16:40:26;1;2022-08-09 16:40:26;29.2;2022-08-09 16:40:26;1577923831;2022-08-09 16:40:26;normal
;2022-08-09 16:45:26;90;2022-08-09 16:45:26;96;2022-08-09 16:45:26;613;2022-08-09 16:45:26;40;2022-08-09 16:45:26;227;2022-08-09 16:45:26;45;2022-08-09 16:45:26;1;2022-08-09 16:45:26;29.2;2022-08-09 16:45:26;1577924131;2022-08-09 16:45:26;normal
;2022-08-09 16:50:27;90;2022-08-09 16:50:27;96;2022-08-09 16:50:27;604;2022-08-09 16:50:27;40;2022-08-09 16:50:27;227;2022-08-09 16:50:27;45;2022-08-09 16:50:27;1;2022-08-09 16:50:27;29.2;2022-08-09 16:50:27;1577924431;2022-08-09 16:50:27;normal
;2022-08-09 16:55:27;89;2022-08-09 16:55:27;96;2022-08-09 16:55:27;601;2022-08-09 16:55:27;40;2022-08-09 16:55:27;199;2022-08-09 16:55:27;45;2022-08-09 16:55:27;1;2022-08-09 16:55:27;29.2;2022-08-09 16:55:27;1577924731;2022-08-09 16:55:27;normal
;2022-08-09 17:00:26;88;2022-08-09 17:00:26;96;2022-08-09 17:00:26;614;2022-08-09 17:00:26;40;2022-08-09 17:00:26;192;2022-08-09 17:00:26;45;2022-08-09 17:00:26;1;2022-08-09 17:00:26;29.2;2022-08-09 17:00:26;1577925031;2022-08-09 17:00:26;normal
